start=1132164ms stop=1134983ms speaker_SPEAKER_10
start=1135458ms stop=1139651ms speaker_SPEAKER_10
start=1139312ms stop=1141808ms speaker_SPEAKER_04
start=1141994ms stop=1144083ms speaker_SPEAKER_04
start=1144371ms stop=1145475ms speaker_SPEAKER_04
start=1146290ms stop=1149414ms speaker_SPEAKER_04
start=1149821ms stop=1151943ms speaker_SPEAKER_04
start=1152283ms stop=1160687ms speaker_SPEAKER_04
start=1160738ms stop=1161383ms speaker_SPEAKER_04
start=1161774ms stop=1163098ms speaker_SPEAKER_04
start=1163692ms stop=1165645ms speaker_SPEAKER_04
start=1166901ms stop=1169601ms speaker_SPEAKER_10
start=1169855ms stop=1180297ms speaker_SPEAKER_10
start=1180704ms stop=1181366ms speaker_SPEAKER_14
start=1181417ms stop=1181723ms speaker_SPEAKER_14
start=1182232ms stop=1184049ms speaker_SPEAKER_14
start=1184422ms stop=1186307ms speaker_SPEAKER_14
start=1186680ms stop=1188650ms speaker_SPEAKER_04
start=1189329ms stop=1192623ms speaker_SPEAKER_04
start=1192775ms stop=1194490ms speaker_SPEAKER_14
start=1195050ms stop=1196477ms speaker_SPEAKER_14
start=1196833ms stop=1198174ms speaker_SPEAKER_14
start=1199295ms stop=1202521ms speaker_SPEAKER_14
start=1202691ms stop=1212402ms speaker_SPEAKER_10
start=1212640ms stop=1220755ms speaker_SPEAKER_04
start=1221112ms stop=1222826ms speaker_SPEAKER_10
start=1224083ms stop=1226443ms speaker_SPEAKER_04
start=1224388ms stop=1224864ms speaker_SPEAKER_12
start=1224864ms stop=1225135ms speaker_SPEAKER_10
start=1226205ms stop=1233166ms speaker_SPEAKER_10
start=1233353ms stop=1235611ms speaker_SPEAKER_10
start=1235577ms stop=1238786ms speaker_SPEAKER_04
start=1239074ms stop=1239957ms speaker_SPEAKER_10
start=1240297ms stop=1240314ms speaker_SPEAKER_03
start=1240314ms stop=1240653ms speaker_SPEAKER_04
start=1240653ms stop=1240670ms speaker_SPEAKER_03
start=1240942ms stop=1242996ms speaker_SPEAKER_04
start=1242996ms stop=1243013ms speaker_SPEAKER_14
start=1243013ms stop=1243149ms speaker_SPEAKER_03
start=1243336ms stop=1246137ms speaker_SPEAKER_10
start=1245611ms stop=1247665ms speaker_SPEAKER_14
start=1247869ms stop=1252945ms speaker_SPEAKER_14
start=1252945ms stop=1255611ms speaker_SPEAKER_04
start=1255730ms stop=1256646ms speaker_SPEAKER_04
start=1256748ms stop=1262198ms speaker_SPEAKER_03
start=1262724ms stop=1264643ms speaker_SPEAKER_03
start=1264643ms stop=1264847ms speaker_SPEAKER_02
start=1264847ms stop=1265000ms speaker_SPEAKER_03
start=1265000ms stop=1267410ms speaker_SPEAKER_02
start=1267410ms stop=1267427ms speaker_SPEAKER_03
start=1267716ms stop=1270619ms speaker_SPEAKER_10
start=1270942ms stop=1273505ms speaker_SPEAKER_10
start=1273726ms stop=1274422ms speaker_SPEAKER_06
start=1274660ms stop=1278005ms speaker_SPEAKER_10
start=1278531ms stop=1281655ms speaker_SPEAKER_10
start=1281926ms stop=1285050ms speaker_SPEAKER_05
start=1285407ms stop=1287325ms speaker_SPEAKER_04
start=1287529ms stop=1288718ms speaker_SPEAKER_05
start=1288718ms stop=1288752ms speaker_SPEAKER_03
start=1288989ms stop=1290212ms speaker_SPEAKER_04
start=1290212ms stop=1290229ms speaker_SPEAKER_14
start=1290517ms stop=1290534ms speaker_SPEAKER_14
start=1290534ms stop=1291383ms speaker_SPEAKER_04
start=1291383ms stop=1291400ms speaker_SPEAKER_14
start=1291400ms stop=1291434ms speaker_SPEAKER_04
start=1291434ms stop=1291451ms speaker_SPEAKER_14
start=1291757ms stop=1291791ms speaker_SPEAKER_04
start=1291791ms stop=1291926ms speaker_SPEAKER_14
start=1291926ms stop=1292062ms speaker_SPEAKER_03
start=1292062ms stop=1292079ms speaker_SPEAKER_14
start=1292606ms stop=1293047ms speaker_SPEAKER_03
start=1293539ms stop=1294762ms speaker_SPEAKER_03
start=1294762ms stop=1297869ms speaker_SPEAKER_14
start=1297886ms stop=1297903ms speaker_SPEAKER_14
start=1297903ms stop=1298361ms speaker_SPEAKER_05
start=1299227ms stop=1300806ms speaker_SPEAKER_05
start=1300806ms stop=1300823ms speaker_SPEAKER_10
start=1301146ms stop=1301570ms speaker_SPEAKER_04
start=1301570ms stop=1301604ms speaker_SPEAKER_14
start=1301604ms stop=1301621ms speaker_SPEAKER_04
start=1301621ms stop=1301825ms speaker_SPEAKER_14
start=1301825ms stop=1304796ms speaker_SPEAKER_04
start=1304915ms stop=1308446ms speaker_SPEAKER_10
start=1309006ms stop=1313438ms speaker_SPEAKER_10
start=1313879ms stop=1316035ms speaker_SPEAKER_10
start=1316477ms stop=1329584ms speaker_SPEAKER_10
start=1329753ms stop=1331027ms speaker_SPEAKER_10
start=1331044ms stop=1333370ms speaker_SPEAKER_12
start=1333370ms stop=1339397ms speaker_SPEAKER_10
start=1339736ms stop=1342402ms speaker_SPEAKER_05
start=1342962ms stop=1344847ms speaker_SPEAKER_03
start=1344643ms stop=1349855ms speaker_SPEAKER_05
start=1349991ms stop=1350008ms speaker_SPEAKER_05
start=1350025ms stop=1352589ms speaker_SPEAKER_05
start=1352657ms stop=1356069ms speaker_SPEAKER_05
start=1357071ms stop=1359397ms speaker_SPEAKER_05
start=1359906ms stop=1362674ms speaker_SPEAKER_05
start=1363336ms stop=1365118ms speaker_SPEAKER_14
start=1365135ms stop=1365152ms speaker_SPEAKER_04
