start=1370212ms stop=1387071ms speaker_SPEAKER_01
start=1387342ms stop=1389040ms speaker_SPEAKER_00
start=1389312ms stop=1409448ms speaker_SPEAKER_00
start=1403370ms stop=1403845ms speaker_SPEAKER_01
start=1404202ms stop=1404694ms speaker_SPEAKER_01
start=1408089ms stop=1408344ms speaker_SPEAKER_01
start=1409448ms stop=1411994ms speaker_SPEAKER_01
start=1411994ms stop=1422028ms speaker_SPEAKER_00
start=1423845ms stop=1434032ms speaker_SPEAKER_00
start=1434371ms stop=1434796ms speaker_SPEAKER_01
start=1434796ms stop=1434830ms speaker_SPEAKER_00
start=1435118ms stop=1439006ms speaker_SPEAKER_00
start=1439006ms stop=1446409ms speaker_SPEAKER_01
start=1446511ms stop=1464202ms speaker_SPEAKER_01
start=1464575ms stop=1465356ms speaker_SPEAKER_06
start=1465764ms stop=1472843ms speaker_SPEAKER_00
start=1473913ms stop=1474083ms speaker_SPEAKER_01
start=1474083ms stop=1474507ms speaker_SPEAKER_00
start=1474507ms stop=1478225ms speaker_SPEAKER_01
start=1475033ms stop=1476188ms speaker_SPEAKER_00
start=1478463ms stop=1483013ms speaker_SPEAKER_00
start=1483302ms stop=1490382ms speaker_SPEAKER_01
start=1490721ms stop=1510823ms speaker_SPEAKER_00
start=1493573ms stop=1494898ms speaker_SPEAKER_01
start=1499821ms stop=1500483ms speaker_SPEAKER_01
start=1503539ms stop=1503794ms speaker_SPEAKER_01
start=1509872ms stop=1510738ms speaker_SPEAKER_06
start=1510993ms stop=1515407ms speaker_SPEAKER_00
start=1516188ms stop=1524235ms speaker_SPEAKER_00
start=1524643ms stop=1525000ms speaker_SPEAKER_00
start=1525000ms stop=1531298ms speaker_SPEAKER_01
start=1530891ms stop=1531264ms speaker_SPEAKER_00
start=1531298ms stop=1531332ms speaker_SPEAKER_00
start=1531332ms stop=1558191ms speaker_SPEAKER_01
start=1534032ms stop=1535254ms speaker_SPEAKER_00
start=1558310ms stop=1570025ms speaker_SPEAKER_01
start=1570636ms stop=1600365ms speaker_SPEAKER_01
start=1598803ms stop=1605000ms speaker_SPEAKER_00
start=1603387ms stop=1604405ms speaker_SPEAKER_01
start=1605000ms stop=1614575ms speaker_SPEAKER_01
start=1614779ms stop=1620517ms speaker_SPEAKER_01
start=1620738ms stop=1621757ms speaker_SPEAKER_01
start=1622096ms stop=1623930ms speaker_SPEAKER_01
start=1622198ms stop=1622843ms speaker_SPEAKER_06
start=1624252ms stop=1628701ms speaker_SPEAKER_01
start=1628837ms stop=1667937ms speaker_SPEAKER_01
start=1628904ms stop=1629821ms speaker_SPEAKER_00
start=1642758ms stop=1643268ms speaker_SPEAKER_06
start=1668344ms stop=1668820ms speaker_SPEAKER_01
start=1669142ms stop=1674524ms speaker_SPEAKER_01
start=1674847ms stop=1675373ms speaker_SPEAKER_01
start=1675373ms stop=1682996ms speaker_SPEAKER_00
start=1682996ms stop=1715475ms speaker_SPEAKER_01
start=1703302ms stop=1703930ms speaker_SPEAKER_06
start=1715713ms stop=1722945ms speaker_SPEAKER_01
start=1715764ms stop=1716290ms speaker_SPEAKER_00
start=1722945ms stop=1723743ms speaker_SPEAKER_00
start=1723743ms stop=1723998ms speaker_SPEAKER_01
start=1723998ms stop=1740331ms speaker_SPEAKER_00
start=1741044ms stop=1744575ms speaker_SPEAKER_00
start=1743743ms stop=1758718ms speaker_SPEAKER_01
