start=2057699ms stop=2058972ms speaker_SPEAKER_02
start=2058972ms stop=2059838ms speaker_SPEAKER_05
start=2059923ms stop=2067478ms speaker_SPEAKER_05
start=2065730ms stop=2069363ms speaker_SPEAKER_02
start=2068803ms stop=2071230ms speaker_SPEAKER_05
start=2071570ms stop=2075882ms speaker_SPEAKER_05
start=2076154ms stop=2078310ms speaker_SPEAKER_05
start=2078684ms stop=2080331ms speaker_SPEAKER_05
start=2080721ms stop=2081315ms speaker_SPEAKER_05
start=2081689ms stop=2082928ms speaker_SPEAKER_05
start=2082928ms stop=2085373ms speaker_SPEAKER_02
start=2085084ms stop=2086018ms speaker_SPEAKER_05
start=2086358ms stop=2087648ms speaker_SPEAKER_02
start=2086986ms stop=2088887ms speaker_SPEAKER_05
start=2092860ms stop=2098208ms speaker_SPEAKER_05
start=2098599ms stop=2099889ms speaker_SPEAKER_02
start=2100229ms stop=2101298ms speaker_SPEAKER_05
start=2100874ms stop=2105339ms speaker_SPEAKER_02
start=2104898ms stop=2117665ms speaker_SPEAKER_05
start=2108259ms stop=2109278ms speaker_SPEAKER_02
start=2110976ms stop=2111061ms speaker_SPEAKER_01
start=2111061ms stop=2111112ms speaker_SPEAKER_02
start=2111112ms stop=2111230ms speaker_SPEAKER_01
start=2111502ms stop=2111621ms speaker_SPEAKER_01
start=2111621ms stop=2111689ms speaker_SPEAKER_02
start=2111689ms stop=2112674ms speaker_SPEAKER_07
start=2117920ms stop=2121842ms speaker_SPEAKER_05
start=2122198ms stop=2126273ms speaker_SPEAKER_05
start=2126748ms stop=2135016ms speaker_SPEAKER_05
start=2135203ms stop=2140398ms speaker_SPEAKER_05
start=2140398ms stop=2141383ms speaker_SPEAKER_02
start=2141791ms stop=2157156ms speaker_SPEAKER_02
start=2156154ms stop=2156833ms speaker_SPEAKER_05
start=2158089ms stop=2162300ms speaker_SPEAKER_02
start=2162028ms stop=2164134ms speaker_SPEAKER_05
start=2164660ms stop=2165713ms speaker_SPEAKER_02
start=2171112ms stop=2176001ms speaker_SPEAKER_02
start=2176001ms stop=2176052ms speaker_SPEAKER_05
start=2176052ms stop=2176426ms speaker_SPEAKER_02
start=2187716ms stop=2192572ms speaker_SPEAKER_00
start=2193471ms stop=2196799ms speaker_SPEAKER_00
start=2197308ms stop=2202249ms speaker_SPEAKER_00
start=2204269ms stop=2211146ms speaker_SPEAKER_02
start=2210942ms stop=2218735ms speaker_SPEAKER_05
start=2212707ms stop=2214168ms speaker_SPEAKER_02
start=2219125ms stop=2223641ms speaker_SPEAKER_05
start=2223896ms stop=2227648ms speaker_SPEAKER_05
start=2227886ms stop=2229040ms speaker_SPEAKER_05
start=2229346ms stop=2235339ms speaker_SPEAKER_05
start=2234252ms stop=2240348ms speaker_SPEAKER_02
start=2240008ms stop=2243370ms speaker_SPEAKER_05
start=2243675ms stop=2273828ms speaker_SPEAKER_02
start=2255831ms stop=2256528ms speaker_SPEAKER_00
start=2270161ms stop=2270806ms speaker_SPEAKER_05
start=2274066ms stop=2275016ms speaker_SPEAKER_05
start=2275067ms stop=2276103ms speaker_SPEAKER_05
start=2276273ms stop=2290314ms speaker_SPEAKER_05
start=2290602ms stop=2291179ms speaker_SPEAKER_02
start=2291129ms stop=2291315ms speaker_SPEAKER_05
start=2291621ms stop=2298769ms speaker_SPEAKER_05
start=2299040ms stop=2300415ms speaker_SPEAKER_05
start=2300144ms stop=2301179ms speaker_SPEAKER_01
start=2301451ms stop=2304456ms speaker_SPEAKER_05
start=2304813ms stop=2306137ms speaker_SPEAKER_01
start=2305322ms stop=2306035ms speaker_SPEAKER_05
start=2308106ms stop=2336205ms speaker_SPEAKER_05
start=2310280ms stop=2310568ms speaker_SPEAKER_01
start=2336578ms stop=2336935ms speaker_SPEAKER_02
start=2337275ms stop=2340959ms speaker_SPEAKER_02
start=2341417ms stop=2342028ms speaker_SPEAKER_05
start=2342028ms stop=2346646ms speaker_SPEAKER_02
start=2342062ms stop=2342096ms speaker_SPEAKER_07
start=2346901ms stop=2347699ms speaker_SPEAKER_07
start=2347699ms stop=2355271ms speaker_SPEAKER_02
start=2355271ms stop=2357631ms speaker_SPEAKER_07
start=2355441ms stop=2357512ms speaker_SPEAKER_02
